ds,y,Shares traded,Moving_average_50,RSI_14,upper_band_20,middle_band_20,lower_band_20,MACD,MACD_signal,MACD_histogram,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force)",Sentiment,Shanghai Stock Exchange,Dow Jones Industrial Average
2017-03-29,9143.8,250902906,8829.176,64.65709432434231,9217.202337676646,9034.3875,8851.572662323355,84.31812728477053,93.73779074523736,-9.419663460466836,6.7954,3.3,7.7,0.296,3241.31396484375,20659.3203125
2017-03-30,9173.75,333410368,8844.395,66.51034955171595,9233.445558188816,9045.785,8858.124441811184,85.86433260815647,92.16309911782119,-6.298766509664716,6.7954,3.3,7.7,0.7906,3210.237060546875,20728.490234375
2017-03-31,9173.75,196771674,8859.91,66.51034955171595,9242.448081247934,9059.485,8876.521918752067,86.09723612239941,90.94992651873683,-4.852690396337422,6.7954,3.3,7.7,-0.34,3222.513916015625,20663.220703125
2017-04-03,9237.85,143444541,8876.327,70.3672270501081,9259.354242498603,9076.5,8893.645757501397,90.41193561506952,90.84232833800337,-0.43039272293384556,6.7954,3.3,7.7,-0.5106,3222.513916015625,20663.220703125
2017-04-05,9265.15,190529461,8892.928,71.85395631045665,9284.165240678369,9091.585000000001,8899.004759321633,94.9398405097254,91.66183077234778,3.278009737377616,6.7954,3.3,7.7,0.7579,3270.304931640625,20648.150390625
2017-04-06,9261.95,191937207,8911.18,71.40174601883115,9301.535030557772,9107.337499999998,8913.139969442223,97.15013818491207,92.75949225486065,4.39064593005142,6.7954,3.3,7.7,0.2263,3281.0048828125,20662.94921875
2017-04-07,9198.3,195918747,8927.315999999999,62.91954702551262,9299.688586967692,9121.0375,8942.386413032309,92.69723592832088,92.74704098955269,-0.04980506123180817,6.7954,3.3,7.7,-0.4019,3286.615966796875,20656.099609375
2017-04-10,9181.45,139968750,8941.429,60.858412100824694,9290.184379812537,9133.759999999998,8977.33562018746,86.8079565429216,91.55922410022647,-4.751267557304871,6.7954,3.3,7.7,-0.4404,3269.39306640625,20658.01953125
2017-04-11,9237.0,206261727,8954.114,64.93640207655238,9282.106376518952,9148.8825,9015.658623481047,85.63592333164706,90.37456394651059,-4.738640614863527,6.7954,3.3,7.7,0.4404,3288.966064453125,20651.30078125
2017-04-12,9203.45,166755013,8965.358,60.81529697881617,9286.775545163322,9154.705,9022.634454836678,81.06540245863653,88.51273164893578,-7.447329190299257,6.7954,3.3,7.7,0.8225,3273.830078125,20591.859375
2017-04-13,9150.8,171695600,8975.719000000001,54.924401273042776,9286.164185779782,9158.005,9029.845814220216,72.36068778652225,85.28232287645308,-12.921635089930831,6.7954,3.3,7.7,0.4404,3275.9599609375,20453.25
2017-04-17,9139.3,132244225,8987.279,53.70081794471445,9285.694392568212,9157.285,9028.875607431788,63.79875249883662,80.98560880092978,-17.18685630209316,6.7954,3.3,7.7,-0.7845,3222.1669921875,20636.919921875
2017-04-18,9105.15,179569574,8995.053999999998,50.129418418087035,9284.927555386765,9154.539999999999,9024.152444613233,53.639415706502405,75.51637018204431,-21.876954475541908,6.7954,3.3,7.7,-0.4588,3196.712890625,20523.279296875
2017-04-19,9103.5,179117382,9002.438999999998,49.956545146204945,9285.141735691557,9153.372500000001,9021.603264308445,44.93692202924467,69.40048055148438,-24.46355852223971,6.7954,3.3,7.7,-0.836,3170.68701171875,20404.490234375
2017-04-20,9136.4,175629897,9010.348,53.406823564927855,9285.324791240759,9154.1175,9022.910208759242,40.23112872621641,63.566610186430786,-23.335481460214375,6.7954,3.3,7.7,0.8807,3172.10009765625,20578.7109375
2017-04-21,9119.4,159981265,9016.715,51.433533516573014,9278.22519847776,9158.564999999999,9038.904801522238,34.7296538736864,57.79921892388191,-23.069565050195507,6.7954,3.3,7.7,0.8126,3173.15087890625,20547.759765625
2017-04-24,9217.95,172908048,9025.708,60.53648678417552,9282.64692755068,9165.147500000001,9047.648072449321,37.88514048354409,53.81640323581435,-15.931262752270257,6.7954,3.3,7.7,0.8519,3129.531005859375,20763.890625
2017-04-25,9306.6,173896951,9036.459,66.60088321263422,9304.539040523578,9175.077500000001,9045.615959476425,46.997443206553726,52.45261122996223,-5.455168023408504,6.7954,3.3,7.7,0.9468,3134.56689453125,20996.119140625
2017-04-26,9351.85,191395120,9047.928,69.20243649028731,9327.143385095733,9190.41,9053.676614904267,57.21081493305246,53.404251970580276,3.806562962472185,6.7954,3.3,7.7,-0.2263,3140.846923828125,20975.08984375
2017-04-27,9342.15,215881711,9058.9,67.98002645855543,9347.779032940083,9202.4775,9057.175967059919,63.78698007565981,55.480797591596186,8.306182484063626,6.7954,3.3,7.7,0.8074,3152.18701171875,20981.330078125
2017-04-28,9304.05,167229353,9068.88,63.253743916563046,9359.589026152882,9210.49,9061.390973847117,65.1730128218569,57.419240637648336,7.7537721842085645,6.7954,3.3,7.7,0.802,3154.657958984375,20940.509765625
2017-05-02,9313.8,166558241,9079.31,63.9445772222469,9372.085531132512,9217.4925,9062.899468867488,66.2940012945528,59.194192769029236,7.099808525523564,6.7954,3.3,7.7,0.8885,3143.7119140625,20949.890625
2017-05-03,9311.95,156342492,9091.055,63.699867909313056,9382.863143299017,9224.4025,9065.941856700983,66.26920307464752,60.6091948301529,5.66000824449462,6.7954,3.3,7.7,-0.7096,3135.345947265625,20957.900390625
2017-05-04,9359.9,277895923,9102.693000000001,67.20318912611411,9399.61017703411,9230.505,9061.399822965888,69.31964090150359,62.35128404442304,6.9683568570805505,6.7954,3.3,7.7,0.5719,3127.368896484375,20951.470703125
2017-05-05,9285.3,239133531,9111.965,57.849067435672595,9401.668146026626,9231.5125,9061.356853973375,64.96862049916854,62.87475133537214,2.0938691637963984,6.7954,3.3,7.7,0.9246,3103.0380859375,21006.939453125
2017-05-08,9314.05,179709949,9120.662,60.15110857960219,9407.619659279757,9234.1175,9060.615340720244,63.1127655343862,62.92235417517495,0.19041135921124663,6.7954,3.3,7.7,0.4939,3078.613037109375,21012.279296875
