Date,Close,Shares traded
"Tuesday, November 29, 2016",8142.15,195618384
"Wednesday, November 30, 2016",8224.5,255725357
"Thursday, December 1, 2016",8192.9,162597213
"Friday, December 2, 2016",8086.8,176767415
"Monday, December 5, 2016",8128.75,130435865
"Tuesday, December 6, 2016",8143.15,118854323
"Wednesday, December 7, 2016",8102.05,175024334
"Thursday, December 8, 2016",8246.85,146857616
"Friday, December 9, 2016",8261.75,154344775
"Monday, December 12, 2016",8170.8,111432551
"Tuesday, December 13, 2016",8221.8,189739559
"Wednesday, December 14, 2016",8182.45,149132520
"Thursday, December 15, 2016",8153.6,187425988
"Friday, December 16, 2016",8139.45,209268331
"Monday, December 19, 2016",8104.35,110669713
"Tuesday, December 20, 2016",8082.4,132026742
"Wednesday, December 21, 2016",8061.3,127543733
"Thursday, December 22, 2016",7979.1,126409580
"Friday, December 23, 2016",7985.75,127921701
"Monday, December 26, 2016",7908.25,110171222
"Tuesday, December 27, 2016",8032.85,122463312
"Wednesday, December 28, 2016",8034.85,130580701
"Thursday, December 29, 2016",8103.6,183984077
"Friday, December 30, 2016",8185.8,131457250
"Monday, January 2, 2017",8179.5,122016111
"Tuesday, January 3, 2017",8192.25,131186021
"Wednesday, January 4, 2017",8190.5,136476345
"Thursday, January 5, 2017",8273.8,163957452
"Friday, January 6, 2017",8243.8,143689850
"Monday, January 9, 2017",8236.05,102211190
"Tuesday, January 10, 2017",8288.6,147312927
"Wednesday, January 11, 2017",8380.65,192285417
"Thursday, January 12, 2017",8407.2,177948383
"Friday, January 13, 2017",8400.35,190949616
"Monday, January 16, 2017",8412.8,127938836
"Tuesday, January 17, 2017",8398,125781216
"Wednesday, January 18, 2017",8417,168867039
"Thursday, January 19, 2017",8435.1,170956149
"Friday, January 20, 2017",8349.35,208901233
"Monday, January 23, 2017",8391.5,200993100
"Tuesday, January 24, 2017",8475.8,184745781
"Wednesday, January 25, 2017",8602.75,301490150
"Friday, January 27, 2017",8641.25,283905821
"Monday, January 30, 2017",8632.75,314110760
"Tuesday, January 31, 2017",8561.3,537110119
"Wednesday, February 1, 2017",8716.4,337797412
"Thursday, February 2, 2017",8734.25,292329202
"Friday, February 3, 2017",8740.95,196936238
"Monday, February 6, 2017",8801.05,200403782
"Tuesday, February 7, 2017",8768.3,233294532
"Wednesday, February 8, 2017",8769.05,225485726
"Thursday, February 9, 2017",8778.4,193282248
"Friday, February 10, 2017",8793.55,232947341
"Monday, February 13, 2017",8805.05,211180353
"Tuesday, February 14, 2017",8792.3,194133563
"Wednesday, February 15, 2017",8724.7,222828919
"Thursday, February 16, 2017",8778,190277738
"Friday, February 17, 2017",8821.7,307526025
"Monday, February 20, 2017",8879.2,173022362
"Tuesday, February 21, 2017",8907.85,181091326
"Wednesday, February 22, 2017",8926.9,254677956
"Thursday, February 23, 2017",8939.5,388874096
"Monday, February 27, 2017",8896.7,195847099
"Tuesday, February 28, 2017",8879.6,302722890
"Wednesday, March 1, 2017",8945.8,212328974
"Thursday, March 2, 2017",8899.75,225608140
"Friday, March 3, 2017",8897.55,208915878
"Monday, March 6, 2017",8963.45,180194586
"Tuesday, March 7, 2017",8946.9,178827506
"Wednesday, March 8, 2017",8924.3,183325544
"Thursday, March 9, 2017",8927,176810453
"Friday, March 10, 2017",8934.55,157419999
"Tuesday, March 14, 2017",9087,278726933
"Wednesday, March 15, 2017",9084.8,248033251
"Thursday, March 16, 2017",9153.7,215096446
"Friday, March 17, 2017",9160.05,295554265
"Monday, March 20, 2017",9126.85,342395900
"Tuesday, March 21, 2017",9121.5,255396073
"Wednesday, March 22, 2017",9030.45,239463699
"Thursday, March 23, 2017",9086.3,197705274
"Friday, March 24, 2017",9108,210021581
"Monday, March 27, 2017",9045.2,209036051
"Tuesday, March 28, 2017",9100.8,188985603
"Wednesday, March 29, 2017",9143.8,250902906
"Thursday, March 30, 2017",9173.75,333410368
"Friday, March 31, 2017",9173.75,196771674
"Monday, April 3, 2017",9237.85,143444541
"Wednesday, April 5, 2017",9265.15,190529461
"Thursday, April 6, 2017",9261.95,191937207
"Friday, April 7, 2017",9198.3,195918747
"Monday, April 10, 2017",9181.45,139968750
"Tuesday, April 11, 2017",9237,206261727
"Wednesday, April 12, 2017",9203.45,166755013
"Thursday, April 13, 2017",9150.8,171695600
"Monday, April 17, 2017",9139.3,132244225
"Tuesday, April 18, 2017",9105.15,179569574
"Wednesday, April 19, 2017",9103.5,179117382
"Thursday, April 20, 2017",9136.4,175629897
"Friday, April 21, 2017",9119.4,159981265
"Monday, April 24, 2017",9217.95,172908048
"Tuesday, April 25, 2017",9306.6,173896951
"Wednesday, April 26, 2017",9351.85,191395120
"Thursday, April 27, 2017",9342.15,215881711
"Friday, April 28, 2017",9304.05,167229353
"Tuesday, May 2, 2017",9313.8,166558241
"Wednesday, May 3, 2017",9311.95,156342492
"Thursday, May 4, 2017",9359.9,277895923
"Friday, May 5, 2017",9285.3,239133531
"Monday, May 8, 2017",9314.05,179709949
"Tuesday, May 9, 2017",9316.85,136417428
"Wednesday, May 10, 2017",9407.3,157363135
"Thursday, May 11, 2017",9422.4,176439840
"Friday, May 12, 2017",9400.9,159079418
"Monday, May 15, 2017",9445.4,145163953
"Tuesday, May 16, 2017",9512.25,171709433
"Wednesday, May 17, 2017",9525.75,211856040
"Thursday, May 18, 2017",9429.45,199340647
"Friday, May 19, 2017",9427.9,259861396
"Monday, May 22, 2017",9438.25,202874757
"Tuesday, May 23, 2017",9386.15,231345629
"Wednesday, May 24, 2017",9360.55,218265181
"Thursday, May 25, 2017",9509.75,298147347
"Friday, May 26, 2017",9595.1,225647631
"Monday, May 29, 2017",9604.9,242266034
"Tuesday, May 30, 2017",9624.55,199894193
"Wednesday, May 31, 2017",9621.25,427053433
"Thursday, June 1, 2017",9616.1,181533283
"Friday, June 2, 2017",9653.5,167195027
"Monday, June 5, 2017",9675.1,131685021
"Tuesday, June 6, 2017",9637.15,150379695
"Wednesday, June 7, 2017",9663.9,165669924
"Thursday, June 8, 2017",9647.25,160165459
"Friday, June 9, 2017",9668.25,163897548
"Monday, June 12, 2017",9616.4,145786938
"Tuesday, June 13, 2017",9606.9,133734363
"Wednesday, June 14, 2017",9618.15,187378750
"Thursday, June 15, 2017",9578.05,176423424
"Friday, June 16, 2017",9588.05,219808528
"Monday, June 19, 2017",9657.55,146146062
"Tuesday, June 20, 2017",9653.5,164437226
"Wednesday, June 21, 2017",9633.6,148490556
"Thursday, June 22, 2017",9630,204888654
"Friday, June 23, 2017",9574.95,180580579
"Tuesday, June 27, 2017",9511.4,209593904
"Wednesday, June 28, 2017",9491.25,177652206
"Thursday, June 29, 2017",9504.1,267283587
"Friday, June 30, 2017",9520.9,185202600
"Monday, July 3, 2017",9615,188690599
"Tuesday, July 4, 2017",9613.3,149313755
"Wednesday, July 5, 2017",9637.6,134849476
"Thursday, July 6, 2017",9674.55,152001940
"Friday, July 7, 2017",9665.8,146232151
"Monday, July 10, 2017",9771.05,40142973
"Tuesday, July 11, 2017",9786.05,185322358
"Wednesday, July 12, 2017",9816.1,150045594
"Thursday, July 13, 2017",9891.7,186866752
"Friday, July 14, 2017",9886.35,164456602
"Monday, July 17, 2017",9915.95,168596771
"Tuesday, July 18, 2017",9827.15,303007860
"Wednesday, July 19, 2017",9899.6,206376192
"Thursday, July 20, 2017",9873.3,166083004
"Friday, July 21, 2017",9915.25,193286125
"Monday, July 24, 2017",9966.4,179905535
"Tuesday, July 25, 2017",9964.55,191206247
"Wednesday, July 26, 2017",10020.65,203697844
"Thursday, July 27, 2017",10020.55,296782048
"Friday, July 28, 2017",10014.5,197491415
"Monday, July 31, 2017",10077.1,245096535
"Tuesday, August 1, 2017",10114.65,190000516
"Wednesday, August 2, 2017",10081.5,166463276
"Thursday, August 3, 2017",10013.65,198665837
"Friday, August 4, 2017",10066.4,184082134
"Monday, August 7, 2017",10057.4,141566282
"Tuesday, August 8, 2017",9978.55,209645343
"Wednesday, August 9, 2017",9908.05,174395293
"Thursday, August 10, 2017",9820.25,242820594
"Friday, August 11, 2017",9710.8,294732998
"Monday, August 14, 2017",9794.15,201613585
"Wednesday, August 16, 2017",9897.3,226269013
"Thursday, August 17, 2017",9904.15,203652311
"Friday, August 18, 2017",9837.4,253931517
"Monday, August 21, 2017",9754.35,211627775
"Tuesday, August 22, 2017",9765.55,189267122
"Wednesday, August 23, 2017",9852.5,173815509
"Thursday, August 24, 2017",9857.05,190398702
"Monday, August 28, 2017",9912.8,164493772
"Tuesday, August 29, 2017",9796.05,178668444
"Wednesday, August 30, 2017",9884.4,162704136
"Thursday, August 31, 2017",9917.9,337782004
"Friday, September 1, 2017",9974.4,162730656
"Monday, September 4, 2017",9912.85,153369495
"Tuesday, September 5, 2017",9952.2,143522342
"Wednesday, September 6, 2017",9916.2,153767846
"Thursday, September 7, 2017",9929.9,194626599
"Friday, September 8, 2017",9934.8,168698771
"Monday, September 11, 2017",10006.05,178409875
"Tuesday, September 12, 2017",10093.05,188248293
"Wednesday, September 13, 2017",10079.3,221608053
"Thursday, September 14, 2017",10086.6,232637517
"Friday, September 15, 2017",10085.4,274799134
"Monday, September 18, 2017",10153.1,160852680
"Tuesday, September 19, 2017",10147.55,193345992
"Wednesday, September 20, 2017",10141.15,205605243
"Thursday, September 21, 2017",10121.9,197710666
"Friday, September 22, 2017",9964.4,233621596
"Monday, September 25, 2017",9872.6,228206970
"Tuesday, September 26, 2017",9871.5,196792799
"Wednesday, September 27, 2017",9735.75,206305991
"Thursday, September 28, 2017",9768.95,396874518
"Friday, September 29, 2017",9788.6,202350211
"Tuesday, October 3, 2017",9859.5,167833406
"Wednesday, October 4, 2017",9914.9,160993982
"Thursday, October 5, 2017",9888.7,152362417
"Friday, October 6, 2017",9979.7,201858899
